context,question,answer
"Art.4.-  La información que los trabajadores conozcan con ocasión y/o motivo del desempeño de sus labores y/o su pertenencia a la Empresa, deberá ser tratada, según corresponda a su calificación, con la más estricta confidencialidad y reserva. El incumplimiento de esta obligación será sancionado por la Empresa mediante la imposición de las medidas disciplinarias que resulten pertinentes.",¿Cómo se maneja la confidencialidad de la información?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
"Art.1.-  El Reglamento Interno de Trabajo establece el conjunto de normas esenciales que regulan la prestación de servicios y el comportamiento laboral de los trabajadores, propiciando, manteniendo y fomentando las buenas relaciones entre éstos y la Empresa a través del correcto ejercicio de los derechos y deberes que las leyes, normas institucionales y el presente reglamento señalan.",¿Qué pasa si no cumplo con las medidas de seguridad en el trabajo?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
"A que sean escuchados y se preste la debida atención a sus peticiones, sugerencias, reclamos y quejas, dentro del horario y las regulaciones que establezca la Empresa.",¿Qué debo hacer si tengo una queja o reclamación?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
Registrar en audio y/o video reuniones presenciales o virtuales de la Empresa sin autorización expresa de los participantes.,¿Cuáles son las consecuencias de realizar sobretiempo sin autorización?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
"Art.1.-  El Reglamento Interno de Trabajo establece el conjunto de normas esenciales que regulan la prestación de servicios y el comportamiento laboral de los trabajadores, propiciando, manteniendo y fomentando las buenas relaciones entre éstos y la Empresa a través del correcto ejercicio de los derechos y deberes que las leyes, normas institucionales y el presente reglamento señalan.",¿Cómo se lleva a cabo la reubicación dentro de la empresa?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
"Someterse a los exámenes médicos ocupacionales, controles de salud, levantamiento de observaciones médicas, entre otras evaluaciones en materia de seguridad y salud en el trabajo que resulten necesarios y/o se les haya requerido; ya sea al inicio, durante y al finalizar la relación laboral.",¿Qué ocurre si no cumplo con los exámenes médicos ocupacionales?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
Se entiende por sobretiempo el exceso de la jornada obligatoria. Dicho sobretiempo podrá ser abonado como horas extras o compensado con descanso equivalente.,¿Qué hago si quiero tomar un descanso durante la jornada laboral?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
"DE LA PERMANENCIA EN EL PUESTO DE TRABAJO, PERMISOS, LICENCIAS E  INASISTENCIAS",¿Cómo se manejan los permisos por enfermedad?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
"Realizar actividades de cualquier índole que representen o puedan representar un conflicto de interés con la Empresa; sea que se encuentren contenidos o no en disposiciones y/o lineamientos de la Empresa. En estos casos, es obligación del trabajador informar previamente a la Empresa de cualquier posible conflicto de intereses que pudiera ocurrir o generarse.",¿Qué pasa si tengo un conflicto con un compañero de trabajo?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
"Art.4.-  La información que los trabajadores conozcan con ocasión y/o motivo del desempeño de sus labores y/o su pertenencia a la Empresa, deberá ser tratada, según corresponda a su calificación, con la más estricta confidencialidad y reserva. El incumplimiento de esta obligación será sancionado por la Empresa mediante la imposición de las medidas disciplinarias que resulten pertinentes.",¿Qué medidas toma la empresa contra el hostigamiento sexual?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
"Art.5.-  En estricta observancia del principio de igualdad y no discriminación, las disposiciones del Reglamento serán aplicables -sin distinción- a todos los trabajadores de la Empresa; independientemente del sexo, raza, religión, idioma, cargo, modalidad de contratación, calificación del puesto (de dirección o confianza), lugar de la prestación de los servicios, pertenencia a una organización sindical, entre otras. Cualquier diferenciación deberá estar justificada en causas objetivas y razonables.",¿Qué hacer si quiero denunciar un acto de discriminación?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
"A que se mantenga en reserva la información que obrase en poder de la Empresa sobre su persona; cumpliendo con las disposiciones establecidas en la Ley No. 29733, Ley de Protección de Datos Personales, su Reglamento y demás normas complementarias y/o modificatorias, así como cumplir con la finalidad por la cual fueron requeridos para su tratamiento.",¿Cómo se protege la información confidencial en la empresa?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
,¿Qué debo hacer si pierdo un documento importante de trabajo?,
"Asimismo, garantiza la participación efectiva de todas las personas con discapacidad en los procesos de reclutamiento, selección y contratación, de acuerdo al perfil y condiciones de seguridad de la posición. En ese sentido, la Empresa proscribe todo tipo de discriminación, directa y/o indirecta, durante los procesos antes mencionados.",¿Qué pasa si no cumplo con la política de seguridad y salud en el trabajo?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
"Art.1.-  El Reglamento Interno de Trabajo establece el conjunto de normas esenciales que regulan la prestación de servicios y el comportamiento laboral de los trabajadores, propiciando, manteniendo y fomentando las buenas relaciones entre éstos y la Empresa a través del correcto ejercicio de los derechos y deberes que las leyes, normas institucionales y el presente reglamento señalan.",¿Puedo usar mi celular personal durante el trabajo?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
"Art.1.-  El Reglamento Interno de Trabajo establece el conjunto de normas esenciales que regulan la prestación de servicios y el comportamiento laboral de los trabajadores, propiciando, manteniendo y fomentando las buenas relaciones entre éstos y la Empresa a través del correcto ejercicio de los derechos y deberes que las leyes, normas institucionales y el presente reglamento señalan.",¿Cómo puedo saber mis derechos sobre el VIH en la empresa?,El reglamento establece que los trabajadores tienen derechos que buscan garantizar su bienestar y eficiencia en la empresa.
"Art.1.-  El Reglamento Interno de Trabajo establece el conjunto de normas esenciales que regulan la prestación de servicios y el comportamiento laboral de los trabajadores, propiciando, manteniendo y fomentando las buenas relaciones entre éstos y la Empresa a través del correcto ejercicio de los derechos y deberes que las leyes, normas institucionales y el presente reglamento señalan.",¿Qué hacer si me siento discriminado en el trabajo?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
CONDICIONES ESPECÍFICAS PARA EL USO DEL SERVICIO DE LACTARIO,¿Cómo solicito el uso del lactario si soy madre trabajadora?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
"Art.1.-  El Reglamento Interno de Trabajo establece el conjunto de normas esenciales que regulan la prestación de servicios y el comportamiento laboral de los trabajadores, propiciando, manteniendo y fomentando las buenas relaciones entre éstos y la Empresa a través del correcto ejercicio de los derechos y deberes que las leyes, normas institucionales y el presente reglamento señalan.",¿Puedo cambiar de puesto dentro de la empresa?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
"Art.1.-  El Reglamento Interno de Trabajo establece el conjunto de normas esenciales que regulan la prestación de servicios y el comportamiento laboral de los trabajadores, propiciando, manteniendo y fomentando las buenas relaciones entre éstos y la Empresa a través del correcto ejercicio de los derechos y deberes que las leyes, normas institucionales y el presente reglamento señalan.",¿Cuáles son las medidas contra la tuberculosis en el lugar de trabajo?,"Este reglamento regula diversas situaciones laborales como permisos, sanciones y otros derechos de los trabajadores."
